country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
Spain,A Coruna,27.0,Good,0.0,Good,27.0,Good,1.0,Good,20.0,Good,A Coruna,Spain,43.365,-8.41
Denmark,Aabenraa,45.0,Good,1.0,Good,38.0,Good,2.0,Good,45.0,Good,Aabenraa,Denmark,55.0444,9.4181
Germany,Aachen,55.0,Moderate,1.0,Good,43.0,Good,1.0,Good,55.0,Moderate,Aachen,Germany,50.7756,6.0836
Denmark,Aalborg,46.0,Good,1.0,Good,46.0,Good,0.0,Good,12.0,Good,Aalborg,Denmark,57.05,9.9167
Netherlands,Aalburg,30.0,Good,0.0,Good,30.0,Good,2.0,Good,29.0,Good,,,,
Germany,Aalen,61.0,Moderate,1.0,Good,36.0,Good,3.0,Good,61.0,Moderate,Aalen,Germany,48.8333,10.1
Netherlands,Aalsmeer,38.0,Good,1.0,Good,33.0,Good,4.0,Good,38.0,Good,Aalsmeer,Netherlands,52.2667,4.75
Belgium,Aalst,51.0,Moderate,1.0,Good,38.0,Good,2.0,Good,51.0,Moderate,Aalst,Belgium,50.9383,4.0392
Netherlands,Aalten,31.0,Good,1.0,Good,31.0,Good,2.0,Good,23.0,Good,Aalten,Netherlands,51.9333,6.5833
Belgium,Aalter,36.0,Good,1.0,Good,25.0,Good,3.0,Good,36.0,Good,,,,
Finland,Aanekoski,33.0,Good,1.0,Good,33.0,Good,0.0,Good,3.0,Good,Aanekoski,Finland,62.6,25.725
Switzerland,Aarau,103.0,Unhealthy for Sensitive Groups,1.0,Good,27.0,Good,2.0,Good,103.0,Unhealthy for Sensitive Groups,Aarau,Switzerland,47.4,8.05
Belgium,Aarschot,44.0,Good,1.0,Good,29.0,Good,3.0,Good,44.0,Good,Aarschot,Belgium,50.9833,4.8333
Belgium,Aartselaar,41.0,Good,1.0,Good,29.0,Good,4.0,Good,41.0,Good,Aartselaar,Belgium,51.1333,4.3833
Nigeria,Aba,196.0,Unhealthy,13.0,Good,6.0,Good,13.0,Good,196.0,Unhealthy,Aba,China,32.9039,101.6925
Nigeria,Aba,196.0,Unhealthy,13.0,Good,6.0,Good,13.0,Good,196.0,Unhealthy,Aba,Nigeria,5.1167,7.3667
Iran (Islamic Republic of),Abadan,164.0,Unhealthy,1.0,Good,134.0,Unhealthy for Sensitive Groups,1.0,Good,164.0,Unhealthy,Abadan,Turkmenistan,38.0517,58.21
Brazil,Abaete,39.0,Good,1.0,Good,2.0,Good,3.0,Good,39.0,Good,Abaete,Brazil,-19.1583,-45.4522
Brazil,Abaetetuba,36.0,Good,0.0,Good,17.0,Good,0.0,Good,36.0,Good,Abaetetuba,Brazil,-1.7178,-48.8828
Nigeria,Abakaliki,72.0,Moderate,2.0,Good,38.0,Good,0.0,Good,72.0,Moderate,Abakaliki,Nigeria,6.3249,8.1137
Russian Federation,Abakan,57.0,Moderate,1.0,Good,43.0,Good,0.0,Good,57.0,Moderate,Abakan,Russia,53.7167,91.4667
Niger,Abalak,101.0,Unhealthy for Sensitive Groups,1.0,Good,40.0,Good,0.0,Good,101.0,Unhealthy for Sensitive Groups,,,,
Peru,Abancay,24.0,Good,1.0,Good,0.0,Good,2.0,Good,24.0,Good,Abancay,Peru,-13.6333,-72.8833
Italy,Abano Terme,69.0,Moderate,1.0,Good,41.0,Good,2.0,Good,69.0,Moderate,Abano Terme,Italy,45.3603,11.79
Spain,Abaran,47.0,Good,1.0,Good,21.0,Good,2.0,Good,47.0,Good,Abaran,Spain,38.2031,-1.4003
Japan,Abashiri,35.0,Good,1.0,Good,35.0,Good,0.0,Good,29.0,Good,Abashiri,Japan,44.0167,144.2667
Mexico,Abasolo,53.0,Moderate,1.0,Good,28.0,Good,3.0,Good,53.0,Moderate,Abasolo,Mexico,20.45,-101.517
Mexico,Abasolo,53.0,Moderate,1.0,Good,28.0,Good,3.0,Good,53.0,Moderate,Abasolo,Mexico,24.0559,-98.3733
Kazakhstan,Abay,42.0,Good,1.0,Good,35.0,Good,0.0,Good,42.0,Good,Abay,Kazakhstan,43.2092,76.7603
Kazakhstan,Abay,42.0,Good,1.0,Good,35.0,Good,0.0,Good,42.0,Good,Abay,Kazakhstan,49.6311,72.8539
Russian Federation,Abaza,30.0,Good,1.0,Good,30.0,Good,0.0,Good,15.0,Good,Abaza,Russia,52.6481,90.0739
United States of America,Abbeville,41.0,Good,1.0,Good,23.0,Good,2.0,Good,41.0,Good,Abbeville,France,50.1058,1.8358
United States of America,Abbeville,41.0,Good,1.0,Good,23.0,Good,2.0,Good,41.0,Good,Abbeville,United States,29.9751,-92.1265
Italy,Abbiategrasso,69.0,Moderate,1.0,Good,37.0,Good,4.0,Good,69.0,Moderate,Abbiategrasso,Italy,45.4,8.9167
Canada,Abbotsford,27.0,Good,1.0,Good,27.0,Good,4.0,Good,23.0,Good,Abbotsford,Canada,49.05,-122.3167
Iran (Islamic Republic of),Abdanan,112.0,Unhealthy for Sensitive Groups,1.0,Good,45.0,Good,0.0,Good,112.0,Unhealthy for Sensitive Groups,,,,
Russian Federation,Abdulino,40.0,Good,1.0,Good,40.0,Good,0.0,Good,28.0,Good,Abdulino,Russia,53.6667,53.6333
Chad,Abeche,108.0,Unhealthy for Sensitive Groups,1.0,Good,43.0,Good,0.0,Good,108.0,Unhealthy for Sensitive Groups,Abeche,Chad,13.8331,20.8347
Côte d'Ivoire,Abengourou,64.0,Moderate,2.0,Good,18.0,Good,0.0,Good,64.0,Moderate,Abengourou,Côte d’Ivoire,6.7333,-3.4833
Germany,Abensberg,54.0,Moderate,1.0,Good,38.0,Good,3.0,Good,54.0,Moderate,Abensberg,Germany,48.8,11.85
Nigeria,Abeokuta,162.0,Unhealthy,9.0,Good,11.0,Good,9.0,Good,162.0,Unhealthy,Abeokuta,Nigeria,7.1608,3.3483
United Kingdom of Great Britain and Northern Ireland,Aberdare,40.0,Good,1.0,Good,30.0,Good,1.0,Good,40.0,Good,Aberdare,United Kingdom,51.713,-3.445
United States of America,Aberdeen,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Aberdeen,United States,40.4165,-74.2249
United States of America,Aberdeen,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Aberdeen,United States,45.4649,-98.4686
United States of America,Aberdeen,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Aberdeen,United States,46.9757,-123.8094
United States of America,Aberdeen,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Aberdeen,United States,39.5151,-76.1733
United States of America,Aberdeen,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Aberdeen,United Kingdom,57.15,-2.11
United States of America,Aberdeen,39.0,Good,1.0,Good,39.0,Good,1.0,Good,27.0,Good,Aberdeen,United States,35.135,-79.4326
United Kingdom of Great Britain and Northern Ireland,Aberystwyth,44.0,Good,1.0,Good,21.0,Good,4.0,Good,44.0,Good,Aberystwyth,United Kingdom,52.414,-4.081
Saudi Arabia,Abha,170.0,Unhealthy,1.0,Good,74.0,Moderate,1.0,Good,170.0,Unhealthy,Abha,Saudi Arabia,18.2169,42.5053
Iran (Islamic Republic of),Abhar,72.0,Moderate,1.0,Good,46.0,Good,0.0,Good,72.0,Moderate,Abhar,Iran,36.1511,49.2244
India,Abhayapuri,53.0,Moderate,2.0,Good,42.0,Good,0.0,Good,53.0,Moderate,Abhayapuri,India,26.3225,90.6853
Bangladesh,Abhaynagar,187.0,Unhealthy,2.0,Good,47.0,Good,3.0,Good,187.0,Unhealthy,,,,
Côte d'Ivoire,Abidjan,105.0,Unhealthy for Sensitive Groups,4.0,Good,15.0,Good,4.0,Good,105.0,Unhealthy for Sensitive Groups,Abidjan,Côte d’Ivoire,5.3167,-4.0333
Japan,Abiko,39.0,Good,1.0,Good,39.0,Good,2.0,Good,39.0,Good,Abiko,Japan,35.8667,140.0333
United States of America,Abilene,52.0,Moderate,1.0,Good,25.0,Good,1.0,Good,52.0,Moderate,Abilene,United States,32.4543,-99.7384
United Kingdom of Great Britain and Northern Ireland,Abingdon,32.0,Good,1.0,Good,30.0,Good,1.0,Good,32.0,Good,Abingdon,United Kingdom,51.6717,-1.2783
United States of America,Abington,63.0,Moderate,2.0,Good,18.0,Good,16.0,Good,63.0,Moderate,Abington,United States,42.118,-70.959
United States of America,Abington,63.0,Moderate,2.0,Good,18.0,Good,16.0,Good,63.0,Moderate,Abington,United States,40.1108,-75.1146
Russian Federation,Abinsk,43.0,Good,1.0,Good,43.0,Good,1.0,Good,16.0,Good,Abinsk,Russia,44.8667,38.15
Ethiopia,Abiy Adi,106.0,Unhealthy for Sensitive Groups,1.0,Good,25.0,Good,0.0,Good,106.0,Unhealthy for Sensitive Groups,Abiy Adi,Ethiopia,13.6231,39.0017
Egypt,Abnub,150.0,Unhealthy,1.0,Good,47.0,Good,2.0,Good,150.0,Unhealthy,Abnub,Egypt,27.2667,31.15
India,Abohar,162.0,Unhealthy,2.0,Good,125.0,Unhealthy for Sensitive Groups,0.0,Good,162.0,Unhealthy,Abohar,India,30.1334,74.2001
Côte d'Ivoire,Aboisso,55.0,Moderate,2.0,Good,23.0,Good,1.0,Good,55.0,Moderate,Aboisso,Côte d’Ivoire,5.4667,-3.2
Benin,Abomey,80.0,Moderate,1.0,Good,21.0,Good,1.0,Good,80.0,Moderate,Abomey,Benin,7.1856,1.9881
Benin,Abomey Calavi,95.0,Moderate,2.0,Good,22.0,Good,1.0,Good,95.0,Moderate,,,,
Ethiopia,Abomsa,137.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Good,0.0,Good,137.0,Unhealthy for Sensitive Groups,Abomsa,Ethiopia,8.5833,39.85
Cameroon,Abong Mbang,56.0,Moderate,2.0,Good,19.0,Good,0.0,Good,56.0,Moderate,Abong Mbang,Cameroon,3.9833,13.1667
Nigeria,Abonnema,65.0,Moderate,1.0,Good,27.0,Good,0.0,Good,65.0,Moderate,,,,
Hungary,Abony,63.0,Moderate,1.0,Good,31.0,Good,1.0,Good,63.0,Moderate,Abony,Hungary,47.1894,20.0097
Armenia,Abovyan,56.0,Moderate,1.0,Good,40.0,Good,0.0,Good,56.0,Moderate,Abovyan,Armenia,40.2739,44.6256
Portugal,Abrantes,34.0,Good,1.0,Good,34.0,Good,1.0,Good,16.0,Good,Abrantes,Portugal,39.4633,-8.1975
Colombia,Abrego,63.0,Moderate,2.0,Good,13.0,Good,2.0,Good,63.0,Moderate,Abrego,Colombia,8.0,-73.2
Brazil,Abreu E Lima,28.0,Good,0.0,Good,19.0,Good,1.0,Good,28.0,Good,Abreu e Lima,Brazil,-7.9117,-34.9028
Cuba,Abreus,112.0,Unhealthy for Sensitive Groups,1.0,Good,21.0,Good,3.0,Good,112.0,Unhealthy for Sensitive Groups,Abreus,Cuba,22.2806,-80.5678
United Arab Emirates,Abu Dhabi,170.0,Unhealthy,2.0,Good,170.0,Unhealthy,4.0,Good,150.0,Unhealthy,Abu Dhabi,United Arab Emirates,24.4667,54.3667
Sudan,Abu Jubayhah,39.0,Good,1.0,Good,14.0,Good,0.0,Good,39.0,Good,,,,
Syrian Arab Republic,Abu Kamal,150.0,Unhealthy,1.0,Good,47.0,Good,0.0,Good,150.0,Unhealthy,,,,
India,Abu Road,164.0,Unhealthy,1.0,Good,31.0,Good,0.0,Good,164.0,Unhealthy,,,,
Sudan,Abu Zabad,59.0,Moderate,2.0,Good,11.0,Good,0.0,Good,59.0,Moderate,,,,
Philippines,Abucay,47.0,Good,1.0,Good,27.0,Good,1.0,Good,47.0,Good,Abucay,Philippines,14.7222,120.5354
Nigeria,Abuja,73.0,Moderate,2.0,Good,36.0,Good,0.0,Good,73.0,Moderate,Abuja,Nigeria,9.0667,7.4833
Ghana,Aburi,63.0,Moderate,1.0,Good,17.0,Good,1.0,Good,63.0,Moderate,Aburi,Ghana,5.85,-0.1833
Philippines,Abuyog,45.0,Good,1.0,Good,21.0,Good,0.0,Good,45.0,Good,Abuyog,Philippines,10.7458,125.0122
Iran (Islamic Republic of),Abyek,133.0,Unhealthy for Sensitive Groups,2.0,Good,133.0,Unhealthy for Sensitive Groups,2.0,Good,123.0,Unhealthy for Sensitive Groups,Abyek,Iran,36.0411,50.5306
Colombia,Acacias,17.0,Good,1.0,Good,8.0,Good,0.0,Good,17.0,Good,Acacias,Colombia,3.9878,-73.7597
Mexico,Acahualco,151.0,Unhealthy,1.0,Good,39.0,Good,2.0,Good,151.0,Unhealthy,,,,
Mexico,Acajete,182.0,Unhealthy,5.0,Good,2.0,Good,12.0,Good,182.0,Unhealthy,,,,
Brazil,Acajutiba,29.0,Good,1.0,Good,6.0,Good,2.0,Good,29.0,Good,Acajutiba,Brazil,-11.6667,-38.0167
El Salvador,Acajutla,71.0,Moderate,2.0,Good,23.0,Good,3.0,Good,71.0,Moderate,Acajutla,El Salvador,13.59,-89.8336
Mexico,Acala,112.0,Unhealthy for Sensitive Groups,3.0,Good,4.0,Good,7.0,Good,112.0,Unhealthy for Sensitive Groups,Acala,Mexico,16.5533,-92.8069
Mexico,Acambaro,30.0,Good,1.0,Good,11.0,Good,2.0,Good,30.0,Good,Acambaro,Mexico,20.0361,-100.7314
Mexico,Acaponeta,145.0,Unhealthy for Sensitive Groups,2.0,Good,11.0,Good,3.0,Good,145.0,Unhealthy for Sensitive Groups,,,,
Brazil,Acara,31.0,Good,0.0,Good,14.0,Good,0.0,Good,31.0,Good,Acara,Brazil,-1.9608,-48.1969
Brazil,Acarau,44.0,Good,0.0,Good,22.0,Good,0.0,Good,44.0,Good,Acarau,Brazil,-2.8858,-40.1186
Venezuela (Bolivarian Republic of),Acarigua,45.0,Good,1.0,Good,19.0,Good,0.0,Good,45.0,Good,Acarigua,Venezuela,9.5597,-69.2019
Mexico,Acatic,52.0,Moderate,1.0,Good,30.0,Good,0.0,Good,52.0,Moderate,Acatic,Mexico,20.7803,-102.91
Mexico,Acatlan,77.0,Moderate,3.0,Good,3.0,Good,10.0,Good,77.0,Moderate,Acatlan,Mexico,20.1444,-98.4383
Mexico,Acatlan,77.0,Moderate,3.0,Good,3.0,Good,10.0,Good,77.0,Moderate,Acatlan,Mexico,20.2333,-103.5333
Mexico,Acatzingo,125.0,Unhealthy for Sensitive Groups,2.0,Good,11.0,Good,8.0,Good,125.0,Unhealthy for Sensitive Groups,Acatzingo,Mexico,18.9817,-97.7822
Mexico,Acayucan,103.0,Unhealthy for Sensitive Groups,3.0,Good,17.0,Good,4.0,Good,103.0,Unhealthy for Sensitive Groups,Acayucan,Mexico,17.9422,-94.9103
Ghana,Accra,76.0,Moderate,1.0,Good,20.0,Good,1.0,Good,76.0,Moderate,Accra,Ghana,5.55,-0.2
United Kingdom of Great Britain and Northern Ireland,Accrington,61.0,Moderate,0.0,Good,31.0,Good,1.0,Good,61.0,Moderate,Accrington,United Kingdom,53.7534,-2.3638
Italy,Acerra,52.0,Moderate,1.0,Good,52.0,Moderate,1.0,Good,36.0,Good,Acerra,Italy,40.95,14.3667
India,Achalpur,150.0,Unhealthy,1.0,Good,38.0,Good,0.0,Good,150.0,Unhealthy,,,,
China,Acheng,92.0,Moderate,2.0,Good,54.0,Moderate,3.0,Good,92.0,Moderate,,,,
France,Acheres,67.0,Moderate,1.0,Good,22.0,Good,5.0,Good,67.0,Moderate,Acheres,France,48.9602,2.0684
Germany,Achern,67.0,Moderate,1.0,Good,60.0,Moderate,0.0,Good,67.0,Moderate,Achern,Germany,48.6333,8.0667
India,Achhnera,180.0,Unhealthy,6.0,Good,45.0,Good,11.0,Good,180.0,Unhealthy,Achhnera,India,27.18,77.77
Germany,Achim,41.0,Good,0.0,Good,41.0,Good,0.0,Good,26.0,Good,Achim,Germany,53.0653,9.0342
Russian Federation,Achinsk,37.0,Good,1.0,Good,37.0,Good,0.0,Good,27.0,Good,Achinsk,Russia,56.2817,90.5039
Russian Federation,Achkhoy Martan,46.0,Good,1.0,Good,36.0,Good,2.0,Good,46.0,Good,,,,
Italy,Aci Castello,64.0,Moderate,1.0,Good,38.0,Good,1.0,Good,64.0,Moderate,Aci Castello,Italy,37.5556,15.1458
Italy,Aci Catena,105.0,Unhealthy for Sensitive Groups,1.0,Good,43.0,Good,0.0,Good,105.0,Unhealthy for Sensitive Groups,Aci Catena,Italy,37.6,15.1333
Afghanistan,Acin,62.0,Moderate,0.0,Good,46.0,Good,0.0,Good,62.0,Moderate,,,,
Italy,Acireale,55.0,Moderate,1.0,Good,39.0,Good,1.0,Good,55.0,Moderate,Acireale,Italy,37.6167,15.1667
Equatorial Guinea,Aconibe,52.0,Moderate,1.0,Good,20.0,Good,0.0,Good,52.0,Moderate,Aconibe,Equatorial Guinea,1.3,10.9333
Brazil,Acopiara,35.0,Good,1.0,Good,12.0,Good,2.0,Good,35.0,Good,Acopiara,Brazil,-6.1,-39.45
Nicaragua,Acoyapa,51.0,Moderate,1.0,Good,16.0,Good,0.0,Good,51.0,Moderate,Acoyapa,Nicaragua,11.9667,-85.1667
Italy,Acquaviva Delle Fonti,59.0,Moderate,1.0,Good,59.0,Moderate,0.0,Good,50.0,Good,Acquaviva delle Fonti,Italy,40.9,16.85
Italy,Acqui Terme,70.0,Moderate,1.0,Good,34.0,Good,3.0,Good,70.0,Moderate,Acqui Terme,Italy,44.6833,8.4667
Italy,Acri,57.0,Moderate,1.0,Good,57.0,Moderate,2.0,Good,52.0,Moderate,Acri,Italy,39.5,16.3833
United States of America,Acton,29.0,Good,1.0,Good,29.0,Good,4.0,Good,25.0,Good,Acton,Canada,43.6333,-80.0333
United States of America,Acton,29.0,Good,1.0,Good,29.0,Good,4.0,Good,25.0,Good,Acton,United States,42.4843,-71.4378
United States of America,Acton,29.0,Good,1.0,Good,29.0,Good,4.0,Good,25.0,Good,Acton,United Kingdom,51.5135,-0.2707
Mexico,Actopan,67.0,Moderate,1.0,Good,18.0,Good,3.0,Good,67.0,Moderate,Actopan,Mexico,20.2681,-98.9442
Mexico,Actopan,67.0,Moderate,1.0,Good,18.0,Good,3.0,Good,67.0,Moderate,Actopan,Mexico,19.5036,-96.6192
Brazil,Acu,25.0,Good,0.0,Good,25.0,Good,0.0,Good,19.0,Good,Acu,Brazil,-5.5769,-36.9089
Mexico,Acuautla,189.0,Unhealthy,2.0,Good,9.0,Good,15.0,Good,189.0,Unhealthy,,,,
Brazil,Acucena,52.0,Moderate,1.0,Good,6.0,Good,3.0,Good,52.0,Moderate,Acucena,Brazil,-19.0667,-42.5333
Mexico,Acuna,62.0,Moderate,1.0,Good,32.0,Good,1.0,Good,62.0,Moderate,,,,
United States of America,Acushnet,47.0,Good,1.0,Good,40.0,Good,2.0,Good,47.0,Good,Acushnet,United States,41.7138,-70.9012
United States of America,Acworth,64.0,Moderate,2.0,Good,37.0,Good,8.0,Good,64.0,Moderate,Acworth,United States,34.0566,-84.6716
United States of America,Ada,50.0,Good,1.0,Good,26.0,Good,3.0,Good,50.0,Good,Ada,Serbia,45.8,20.1333
United States of America,Ada,50.0,Good,1.0,Good,26.0,Good,3.0,Good,50.0,Good,Ada,Nigeria,7.8956,4.7094
United States of America,Ada,50.0,Good,1.0,Good,26.0,Good,3.0,Good,50.0,Good,Ada,United States,34.7662,-96.6681
India,Adalaj,162.0,Unhealthy,3.0,Good,22.0,Good,11.0,Good,162.0,Unhealthy,Adalaj,India,23.17,72.58
Brazil,Adamantina,39.0,Good,1.0,Good,14.0,Good,1.0,Good,39.0,Good,Adamantina,Brazil,-21.6847,-51.0733
Turkey,Adana,55.0,Moderate,1.0,Good,41.0,Good,0.0,Good,55.0,Moderate,Adana,Turkey,37.0,35.3213
India,Addanki,69.0,Moderate,1.0,Good,29.0,Good,0.0,Good,69.0,Moderate,Addanki,India,15.8167,79.9833
Eritrea,Addi Ugri,75.0,Moderate,1.0,Good,26.0,Good,0.0,Good,75.0,Moderate,,,,
Ethiopia,Addis Abeba,59.0,Moderate,1.0,Good,24.0,Good,0.0,Good,59.0,Moderate,,,,
Ethiopia,Addis Zemen,93.0,Moderate,1.0,Good,27.0,Good,0.0,Good,93.0,Moderate,,,,
United States of America,Addison,56.0,Moderate,1.0,Good,29.0,Good,6.0,Good,56.0,Moderate,Addison,United States,32.959,-96.8355
United States of America,Addison,56.0,Moderate,1.0,Good,29.0,Good,6.0,Good,56.0,Moderate,Addison,United States,41.9313,-88.0085
Spain,Adeje,41.0,Good,0.0,Good,41.0,Good,0.0,Good,12.0,Good,Adeje,Spain,28.1167,-16.7167
Australia,Adelaide,44.0,Good,0.0,Good,24.0,Good,1.0,Good,44.0,Good,Adelaide,South Africa,-32.7078,26.2956
Australia,Adelaide,44.0,Good,0.0,Good,24.0,Good,1.0,Good,44.0,Good,Adelaide,Australia,-34.9275,138.6
United States of America,Adelanto,79.0,Moderate,2.0,Good,31.0,Good,12.0,Good,79.0,Moderate,Adelanto,United States,34.5814,-117.4397
Italy,Adelfia,45.0,Good,1.0,Good,45.0,Good,1.0,Good,20.0,Good,Adelfia,Italy,41.0,16.8667
United States of America,Adelphi,54.0,Moderate,1.0,Good,32.0,Good,5.0,Good,54.0,Moderate,Adelphi,United States,39.0017,-76.9649
Yemen,Aden,81.0,Moderate,1.0,Good,41.0,Good,0.0,Good,81.0,Moderate,Aden,Yemen,12.8,45.0333
Ethiopia,Adet,58.0,Moderate,1.0,Good,20.0,Good,0.0,Good,58.0,Moderate,Adet,Ethiopia,11.2667,37.4833
Côte d'Ivoire,Adiake,50.0,Good,1.0,Good,21.0,Good,0.0,Good,50.0,Good,,,,
India,Adilabad,155.0,Unhealthy,1.0,Good,32.0,Good,0.0,Good,155.0,Unhealthy,Adilabad,India,19.6667,78.5333
Turkey,Adilcevaz,39.0,Good,1.0,Good,33.0,Good,0.0,Good,39.0,Good,Adilcevaz,Turkey,38.8058,42.7469
Indonesia,Adiwerna,92.0,Moderate,2.0,Good,49.0,Good,1.0,Good,92.0,Moderate,,,,
Romania,Adjud,36.0,Good,1.0,Good,36.0,Good,0.0,Good,16.0,Good,Adjud,Romania,46.1,27.1797
Uganda,Adjumani,66.0,Moderate,2.0,Good,22.0,Good,0.0,Good,66.0,Moderate,Adjumani,Uganda,3.3772,31.7906
Switzerland,Adliswil,32.0,Good,1.0,Good,28.0,Good,1.0,Good,32.0,Good,Adliswil,Switzerland,47.3167,8.5333
Mexico,Adolfo Ruiz Cortines,84.0,Moderate,2.0,Good,17.0,Good,3.0,Good,84.0,Moderate,,,,
India,Adoni,85.0,Moderate,0.0,Good,29.0,Good,0.0,Good,85.0,Moderate,Adoni,India,15.6279,77.2749
Spain,Adra,28.0,Good,1.0,Good,19.0,Good,4.0,Good,28.0,Good,Adra,Spain,36.7478,-3.0161
Spain,Adra,28.0,Good,1.0,Good,19.0,Good,4.0,Good,28.0,Good,Adra,India,23.5,86.67
Italy,Adrano,50.0,Good,1.0,Good,32.0,Good,2.0,Good,50.0,Good,Adrano,Italy,37.6667,14.8333
Algeria,Adrar,106.0,Unhealthy for Sensitive Groups,0.0,Good,45.0,Good,0.0,Good,106.0,Unhealthy for Sensitive Groups,Adrar,Algeria,27.8667,-0.2833
Tajikistan,Adrasmon,132.0,Unhealthy for Sensitive Groups,1.0,Good,55.0,Moderate,0.0,Good,132.0,Unhealthy for Sensitive Groups,Adrasmon,Tajikistan,40.6486,69.9856
Chad,Adre,34.0,Good,2.0,Good,19.0,Good,1.0,Good,34.0,Good,Adre,Chad,13.4667,22.2
Italy,Adria,87.0,Moderate,1.0,Good,65.0,Moderate,0.0,Good,87.0,Moderate,Adria,Italy,45.05,12.05
United States of America,Adrian,84.0,Moderate,2.0,Good,16.0,Good,16.0,Good,84.0,Moderate,Adrian,United States,41.8994,-84.0447
India,Adur,63.0,Moderate,1.0,Good,27.0,Good,0.0,Good,63.0,Moderate,,,,
India,Aduturai,56.0,Moderate,1.0,Good,35.0,Good,0.0,Good,56.0,Moderate,,,,
Ethiopia,Adwa,89.0,Moderate,1.0,Good,27.0,Good,0.0,Good,89.0,Moderate,Adwa,Ethiopia,14.1667,38.9
Russian Federation,Adygeysk,40.0,Good,1.0,Good,40.0,Good,3.0,Good,39.0,Good,Adygeysk,Russia,44.8832,39.1902
Côte d'Ivoire,Adzope,75.0,Moderate,3.0,Good,15.0,Good,1.0,Good,75.0,Moderate,Adzope,Côte d’Ivoire,6.1667,-3.9833
Germany,Aerzen,35.0,Good,1.0,Good,35.0,Good,1.0,Good,34.0,Good,Aerzen,Germany,52.0494,9.2653
Switzerland,Aesch,59.0,Moderate,2.0,Good,21.0,Good,4.0,Good,59.0,Moderate,Aesch,Switzerland,47.4667,7.5833
Côte d'Ivoire,Affery,50.0,Good,1.0,Good,16.0,Good,0.0,Good,50.0,Good,,,,
Switzerland,Affoltern,111.0,Unhealthy for Sensitive Groups,1.0,Good,26.0,Good,3.0,Good,111.0,Unhealthy for Sensitive Groups,,,,
United States of America,Affton,52.0,Moderate,1.0,Good,41.0,Good,4.0,Good,52.0,Moderate,Affton,United States,38.5499,-90.3264
Somalia,Afgoye,27.0,Good,0.0,Good,22.0,Good,0.0,Good,27.0,Good,,,,
Nigeria,Afikpo,126.0,Unhealthy for Sensitive Groups,5.0,Good,22.0,Good,4.0,Good,126.0,Unhealthy for Sensitive Groups,,,,
Russian Federation,Afipskiy,49.0,Good,1.0,Good,28.0,Good,8.0,Good,49.0,Good,,,,
Ghana,Aflao,77.0,Moderate,1.0,Good,23.0,Good,0.0,Good,77.0,Moderate,Aflao,Ghana,6.1468,1.1799
Algeria,Aflu,36.0,Good,0.0,Good,36.0,Good,0.0,Good,5.0,Good,,,,
Somalia,Afmadu,25.0,Good,0.0,Good,23.0,Good,0.0,Good,25.0,Good,,,,
Brazil,Afogados Da Ingazeira,24.0,Good,0.0,Good,12.0,Good,0.0,Good,24.0,Good,Afogados da Ingazeira,Brazil,-7.7508,-37.6389
Brazil,Afonso Claudio,36.0,Good,1.0,Good,9.0,Good,2.0,Good,36.0,Good,Afonso Claudio,Brazil,-20.0739,-41.1239
Italy,Afragola,42.0,Good,1.0,Good,42.0,Good,3.0,Good,21.0,Good,Afragola,Italy,40.9167,14.3167
Turkey,Afsin,57.0,Moderate,0.0,Good,38.0,Good,1.0,Good,57.0,Moderate,Afsin,Turkey,38.2464,36.9186
Turkey,Afyonkarahisar,75.0,Moderate,1.0,Good,36.0,Good,0.0,Good,75.0,Moderate,Afyonkarahisar,Turkey,38.7578,30.5386
India,Afzalgarh,198.0,Unhealthy,4.0,Good,198.0,Unhealthy,3.0,Good,188.0,Unhealthy,,,,
India,Afzalpur,84.0,Moderate,0.0,Good,25.0,Good,0.0,Good,84.0,Moderate,Afzalpur,India,17.2011,76.3611
Niger,Agadez,152.0,Unhealthy,1.0,Good,37.0,Good,0.0,Good,152.0,Unhealthy,Agadez,Niger,16.9959,7.9828
Morocco,Agadir,41.0,Good,1.0,Good,23.0,Good,2.0,Good,41.0,Good,Agadir,Morocco,30.4333,-9.6
India,Agar,157.0,Unhealthy,1.0,Good,37.0,Good,0.0,Good,157.0,Unhealthy,Agar,India,23.7118,76.0157
Ethiopia,Agaro,59.0,Moderate,1.0,Good,16.0,Good,0.0,Good,59.0,Moderate,Agaro,Ethiopia,7.8558,36.5858
India,Agartala,125.0,Unhealthy for Sensitive Groups,1.0,Good,39.0,Good,1.0,Good,125.0,Unhealthy for Sensitive Groups,Agartala,India,23.8314,91.2869
United States of America,Agawam,66.0,Moderate,2.0,Good,10.0,Good,17.0,Good,66.0,Moderate,Agawam,United States,42.0657,-72.6526
Nigeria,Agbor,139.0,Unhealthy for Sensitive Groups,7.0,Good,13.0,Good,5.0,Good,139.0,Unhealthy for Sensitive Groups,,,,
